FLASH,DESS,FISP,PSIF,Class
7,21,22,24,CLU0
52,13,33,19,CLU0
54,18,34,14,CLU0
24,15,26,8,CLU0
11,27,31,28,CLU0
9,35,29,18,CLU0
16,16,54,21,CLU0
1,4,28,35,CLU0
29,21,19,35,CLU0
43,19,20,68,CLU0
54,43,28,61,CLU0
55,43,24,73,CLU0
56,63,45,93,CLU0
57,49,61,82,CLU0
72,59,63,86,CLU0
43,60,88,107,CLU0
109,52,90,130,CLU0
99,52,73,110,CLU0
112,66,15,69,CLU0
110,82,60,82,CLU0
124,69,154,50,CLU0
67,75,160,33,CLU0
23,51,150,107,CLU0
23,51,177,51,CLU0
17,9,126,72,CLU0
4,12,39,49,CLU0
4,17,16,49,CLU0
7,13,32,43,CLU0
15,15,27,20,CLU0
0,15,29,29,CLU0
10,5,30,16,CLU0
1,7,13,4,CLU0
17,11,24,11,CLU0
13,7,30,9,CLU0
6,4,27,3,CLU0
10,4,27,5,CLU0
11,12,22,6,CLU0
5,11,24,12,CLU0
11,10,20,6,CLU0
9,7,20,12,CLU0
14,10,23,9,CLU0
12,11,26,7,CLU0
14,6,22,9,CLU0
19,10,27,6,CLU0
8,8,29,13,CLU0
9,10,20,1,CLU0
6,6,25,8,CLU0
8,17,29,14,CLU0
14,30,21,3,CLU0
8,15,12,20,CLU0
10,13,17,5,CLU0
7,12,15,9,CLU0
9,9,11,10,CLU0
9,5,7,9,CLU0
5,10,4,16,CLU0
7,10,19,33,CLU0
0,21,17,11,CLU0
9,11,21,36,CLU0
16,10,18,16,CLU0
3,10,30,19,CLU0
6,22,27,9,CLU0
5,27,21,14,CLU0
26,22,28,2,CLU0
31,16,23,6,CLU0
20,16,27,16,CLU0
13,15,22,37,CLU0
20,21,29,26,CLU0
20,11,36,23,CLU0
14,16,29,37,CLU0
10,6,11,36,CLU0
34,14,32,67,CLU0
40,32,23,62,CLU0
62,51,11,68,CLU0
70,77,33,79,CLU0
69,69,57,92,CLU0
84,60,64,78,CLU0
11,62,96,113,CLU0
96,70,105,139,CLU0
105,40,124,118,CLU0
100,64,50,68,CLU0
94,75,9,90,CLU0
125,69,137,50,CLU0
104,76,176,52,CLU0
84,62,133,92,CLU0
40,73,144,64,CLU0
24,34,143,51,CLU0
6,32,91,66,CLU0
9,25,42,77,CLU0
10,11,4,88,CLU0
10,21,8,27,CLU0
3,12,15,15,CLU0
6,14,18,13,CLU0
9,11,21,8,CLU0
16,13,28,12,CLU0
5,8,30,1,CLU0
3,8,24,3,CLU0
9,8,29,6,CLU0
12,4,32,7,CLU0
23,10,37,7,CLU0
29,4,32,0,CLU0
19,4,33,10,CLU0
22,6,22,11,CLU0
15,12,19,9,CLU0
14,6,26,11,CLU0
12,9,35,16,CLU0
9,11,37,14,CLU0
9,13,28,7,CLU0
9,11,35,21,CLU0
3,14,34,16,CLU0
6,22,29,9,CLU0
5,15,23,19,CLU0
6,12,28,3,CLU0
8,12,17,8,CLU0
10,12,11,17,CLU0
6,9,15,9,CLU0
12,10,11,30,CLU0
3,12,16,17,CLU0
5,15,20,17,CLU0
8,15,23,14,CLU0
2,20,11,12,CLU0
13,18,9,5,CLU0
15,16,14,20,CLU0
3,14,23,24,CLU0
13,19,27,41,CLU0
16,18,21,27,CLU0
8,12,33,22,CLU0
6,23,24,18,CLU0
9,26,29,32,CLU0
4,20,26,26,CLU0
3,14,21,30,CLU0
22,19,23,23,CLU0
21,9,19,27,CLU0
21,4,32,22,CLU0
16,18,20,17,CLU0
16,24,21,23,CLU0
3,12,11,40,CLU0
19,12,29,61,CLU0
30,20,18,64,CLU0
59,54,20,64,CLU0
80,77,7,54,CLU0
87,81,48,87,CLU0
97,80,69,87,CLU0
54,82,98,118,CLU0
78,74,127,158,CLU0
103,10,169,126,CLU0
107,71,124,110,CLU0
88,61,38,84,CLU0
110,66,96,34,CLU0
115,61,178,75,CLU0
128,69,133,66,CLU0
84,86,112,73,CLU0
50,67,131,34,CLU0
12,52,140,54,CLU0
5,28,107,70,CLU0
20,12,75,107,CLU0
8,16,21,91,CLU0
6,6,10,63,CLU0
6,10,5,23,CLU0
15,13,26,20,CLU0
9,14,25,18,CLU0
12,15,18,14,CLU0
5,11,26,11,CLU0
15,12,33,9,CLU0
15,8,36,8,CLU0
25,5,45,4,CLU0
26,8,35,9,CLU0
14,11,40,7,CLU0
14,14,26,17,CLU0
4,12,36,10,CLU0
3,10,37,12,CLU0
11,13,31,13,CLU0
7,22,28,12,CLU0
7,13,20,15,CLU0
7,20,23,19,CLU0
3,11,26,6,CLU0
5,12,29,12,CLU0
9,13,29,8,CLU0
7,9,33,1,CLU0
9,19,26,2,CLU0
11,16,7,15,CLU0
3,11,11,14,CLU0
12,16,20,25,CLU0
5,21,15,9,CLU0
2,13,17,11,CLU0
7,17,18,16,CLU0
4,18,8,13,CLU0
10,15,11,16,CLU0
5,13,4,5,CLU0
11,13,7,5,CLU0
10,15,7,4,CLU0
14,13,18,22,CLU0
13,12,12,27,CLU0
14,20,33,10,CLU0
2,21,18,33,CLU0
15,24,22,39,CLU0
18,26,25,20,CLU0
15,14,46,24,CLU0
11,20,36,29,CLU0
14,22,41,47,CLU0
10,17,25,51,CLU0
11,17,24,49,CLU0
16,24,14,26,CLU0
19,13,22,7,CLU0
23,11,35,31,CLU0
13,18,14,18,CLU0
21,24,21,9,CLU0
6,15,28,53,CLU0
11,11,28,71,CLU0
35,14,25,69,CLU0
55,49,32,69,CLU0
85,69,20,43,CLU0
106,85,44,73,CLU0
122,101,87,104,CLU0
99,111,113,121,CLU0
66,70,140,176,CLU0
92,43,183,151,CLU0
129,73,177,164,CLU0
97,52,43,174,CLU0
104,60,78,56,CLU0
105,53,154,70,CLU0
132,63,146,57,CLU0
116,81,115,72,CLU0
