FLASH,DESS,FISP,PSIF,Class
89,85,154,140,CLU0
12,19,65,78,CLU0
7,20,11,6,CLU0
60,21,39,38,CLU0
111,34,21,32,CLU0
59,25,17,13,CLU0
23,7,7,17,CLU0
23,11,10,10,CLU0
62,33,65,33,CLU0
75,27,66,18,CLU0
173,47,57,122,CLU0
251,95,123,120,CLU0
206,83,92,122,CLU0
145,86,78,82,CLU0
105,49,111,34,CLU0
20,7,25,4,CLU0
17,5,0,5,CLU0
7,6,7,2,CLU0
2,9,3,3,CLU0
6,2,8,5,CLU0
6,1,7,5,CLU0
6,4,2,8,CLU0
6,6,0,2,CLU0
6,4,5,0,CLU0
5,10,3,8,CLU0
6,4,3,4,CLU0
6,7,0,2,CLU0
111,66,121,71,CLU0
106,66,118,61,CLU0
96,57,111,53,CLU0
107,62,112,64,CLU0
109,60,117,66,CLU0
99,69,111,79,CLU0
101,72,109,86,CLU0
106,70,114,72,CLU0
105,70,117,78,CLU0
90,72,133,76,CLU0
101,65,139,86,CLU0
88,66,130,69,CLU0
112,64,138,84,CLU0
105,68,127,66,CLU0
99,61,123,44,CLU0
96,57,119,45,CLU0
91,51,120,53,CLU0
92,53,106,67,CLU0
85,49,81,63,CLU0
65,47,71,50,CLU0
53,38,57,73,CLU0
38,27,53,45,CLU0
28,10,36,33,CLU0
17,8,28,17,CLU0
16,10,16,10,CLU0
5,11,8,32,CLU0
13,8,24,43,CLU0
7,7,16,44,CLU0
4,9,6,64,CLU0
2,10,10,33,CLU0
13,9,10,20,CLU0
6,8,14,28,CLU0
4,8,12,16,CLU0
5,16,20,12,CLU0
11,10,1,20,CLU0
9,10,25,18,CLU0
2,11,21,23,CLU0
6,9,12,14,CLU0
10,14,13,38,CLU0
10,21,17,20,CLU0
10,14,32,5,CLU0
11,33,5,11,CLU0
29,53,23,49,CLU0
80,74,138,114,CLU0
103,94,148,66,CLU0
137,100,171,92,CLU0
115,60,215,92,CLU0
89,30,84,102,CLU0
14,12,30,29,CLU0
9,3,22,21,CLU0
6,16,17,31,CLU0
11,15,29,21,CLU0
9,18,17,21,CLU0
3,19,9,35,CLU0
8,13,23,34,CLU0
7,10,9,19,CLU0
7,5,14,22,CLU0
11,10,4,22,CLU0
18,11,6,19,CLU0
6,12,21,23,CLU0
8,11,13,35,CLU0
19,11,7,35,CLU0
8,18,18,40,CLU0
7,20,11,38,CLU0
10,22,9,43,CLU0
14,24,19,70,CLU0
12,20,36,66,CLU0
8,33,25,52,CLU0
3,25,32,43,CLU0
12,34,31,43,CLU0
12,20,23,24,CLU0
3,26,27,27,CLU0
10,10,23,34,CLU0
18,35,43,47,CLU0
66,83,46,34,CLU0
105,192,103,90,CLU0
84,110,151,114,CLU0
88,114,109,44,CLU0
100,128,163,80,CLU0
110,123,201,127,CLU0
127,125,198,132,CLU0
134,135,218,119,CLU0
131,121,220,134,CLU0
120,111,204,126,CLU0
137,106,202,119,CLU0
146,110,196,128,CLU0
129,119,202,124,CLU0
142,112,208,116,CLU0
127,116,201,113,CLU0
120,115,202,116,CLU0
114,117,198,122,CLU0
121,113,206,142,CLU0
126,116,203,127,CLU0
143,123,207,134,CLU0
142,122,215,132,CLU0
144,121,203,104,CLU0
128,132,188,95,CLU0
120,134,186,118,CLU0
115,148,184,107,CLU0
103,155,180,119,CLU0
83,187,175,109,CLU0
69,162,169,160,CLU0
61,180,169,126,CLU0
61,221,166,127,CLU0
75,215,169,175,CLU0
92,159,166,159,CLU0
146,117,182,125,CLU0
164,121,188,140,CLU0
161,115,181,145,CLU0
166,116,193,124,CLU0
166,110,184,126,CLU0
159,111,190,110,CLU0
163,109,187,107,CLU0
153,114,197,107,CLU0
107,128,189,125,CLU0
93,131,175,127,CLU0
104,123,179,122,CLU0
134,128,184,118,CLU0
147,123,186,136,CLU0
125,129,193,122,CLU0
113,132,187,133,CLU0
104,125,190,125,CLU0
105,127,182,130,CLU0
112,119,172,127,CLU0
106,123,192,128,CLU0
106,127,203,127,CLU0
118,117,210,121,CLU0
123,124,214,135,CLU0
146,122,214,130,CLU0
131,126,205,118,CLU0
116,130,197,120,CLU0
122,126,185,126,CLU0
118,118,182,129,CLU0
90,115,157,141,CLU0
84,132,137,117,CLU0
97,128,165,115,CLU0
105,117,166,107,CLU0
110,118,164,131,CLU0
116,108,171,130,CLU0
114,125,171,136,CLU0
104,116,169,113,CLU0
82,122,173,118,CLU0
72,143,178,101,CLU0
68,149,183,111,CLU0
75,129,160,108,CLU0
85,114,157,112,CLU0
74,105,163,109,CLU0
95,105,179,132,CLU0
77,99,168,81,CLU0
36,123,173,68,CLU0
47,173,137,159,CLU0
93,106,150,144,CLU0
32,21,87,82,CLU0
5,13,9,27,CLU0
29,19,35,26,CLU0
114,26,23,35,CLU0
98,31,20,26,CLU0
26,6,7,20,CLU0
24,9,11,9,CLU0
44,21,29,37,CLU0
68,36,85,10,CLU0
119,20,35,99,CLU0
214,84,119,123,CLU0
200,80,104,130,CLU0
169,89,59,101,CLU0
123,66,120,47,CLU0
42,15,59,10,CLU0
10,8,15,6,CLU0
6,7,4,9,CLU0
6,6,2,2,CLU0
11,5,11,6,CLU0
5,6,10,11,CLU0
8,6,3,16,CLU0
5,4,4,5,CLU0
7,6,10,3,CLU0
9,6,4,6,CLU0
7,4,12,3,CLU0
2,5,4,3,CLU0
92,73,115,77,CLU0
98,70,124,74,CLU0
91,68,109,75,CLU0
85,58,106,69,CLU0
96,64,112,83,CLU0
99,72,119,71,CLU0
91,71,100,90,CLU0
88,77,104,91,CLU0
89,76,117,83,CLU0
90,78,123,91,CLU0
80,81,141,76,CLU0
92,77,138,71,CLU0
92,70,129,57,CLU0
103,58,136,77,CLU0
90,56,130,56,CLU0
87,43,121,36,CLU0
82,31,114,34,CLU0
82,33,102,46,CLU0
75,34,90,72,CLU0
66,38,74,85,CLU0
47,30,61,60,CLU0
31,25,44,48,CLU0
16,19,41,35,CLU0
23,5,18,33,CLU0
18,11,14,4,CLU0
10,9,4,11,CLU0
6,13,7,35,CLU0
10,11,11,64,CLU0
18,7,12,68,CLU0
10,7,4,72,CLU0
10,12,18,43,CLU0
16,12,11,21,CLU0
8,4,16,11,CLU0
4,8,17,10,CLU0
9,16,24,5,CLU0
4,9,10,12,CLU0
8,9,17,7,CLU0
5,11,13,39,CLU0
3,9,23,33,CLU0
11,16,14,55,CLU0
20,20,20,26,CLU0
11,23,21,15,CLU0
11,37,32,29,CLU0
47,72,38,32,CLU0
102,101,197,133,CLU0
123,102,225,106,CLU0
151,110,182,109,CLU0
118,62,195,77,CLU0
64,41,114,88,CLU0
2,11,53,19,CLU0
2,14,19,15,CLU0
16,17,30,13,CLU0
10,16,36,36,CLU0
14,21,18,20,CLU0
11,27,10,21,CLU0
8,13,31,36,CLU0
9,14,13,36,CLU0
12,9,16,43,CLU0
8,11,18,25,CLU0
9,11,19,4,CLU0
6,8,21,10,CLU0
7,5,21,23,CLU0
22,10,14,27,CLU0
8,25,27,53,CLU0
15,10,23,39,CLU0
22,14,37,42,CLU0
14,10,32,44,CLU0
14,12,47,38,CLU0
15,26,41,25,CLU0
14,31,31,28,CLU0
15,32,51,30,CLU0
6,18,38,16,CLU0
15,20,43,28,CLU0
34,32,47,44,CLU0
38,41,77,101,CLU0
62,139,13,8,CLU0
111,200,104,154,CLU0
112,100,174,109,CLU0
86,112,115,8,CLU0
92,115,151,73,CLU0
117,130,209,134,CLU0
129,123,207,135,CLU0
125,132,222,111,CLU0
123,107,216,133,CLU0
119,113,192,133,CLU0
135,105,185,107,CLU0
146,115,192,125,CLU0
125,129,196,120,CLU0
130,118,204,117,CLU0
109,122,200,103,CLU0
112,117,205,111,CLU0
112,116,194,120,CLU0
116,116,195,142,CLU0
124,123,193,123,CLU0
130,125,211,134,CLU0
121,129,212,132,CLU0
117,134,198,122,CLU0
108,141,193,112,CLU0
103,143,186,128,CLU0
101,157,168,135,CLU0
89,157,171,152,CLU0
63,194,161,162,CLU0
50,181,140,257,CLU0
29,230,141,209,CLU0
27,260,137,223,CLU0
46,263,126,268,CLU0
57,205,143,262,CLU0
115,141,159,154,CLU0
166,120,181,91,CLU0
175,105,185,150,CLU0
166,122,190,123,CLU0
162,109,181,135,CLU0
164,112,185,121,CLU0
159,113,185,117,CLU0
163,113,188,101,CLU0
114,124,190,117,CLU0
91,125,183,120,CLU0
104,121,182,119,CLU0
125,128,185,120,CLU0
143,122,192,140,CLU0
132,130,192,118,CLU0
122,132,192,132,CLU0
110,126,189,124,CLU0
103,136,184,131,CLU0
105,123,181,123,CLU0
92,125,193,115,CLU0
100,132,200,117,CLU0
100,120,201,126,CLU0
117,125,211,134,CLU0
132,119,209,131,CLU0
140,126,208,114,CLU0
132,125,189,126,CLU0
129,131,185,122,CLU0
121,119,176,116,CLU0
98,117,161,130,CLU0
92,126,131,110,CLU0
100,135,160,112,CLU0
95,121,169,111,CLU0
95,122,163,127,CLU0
96,112,177,127,CLU0
96,131,169,126,CLU0
82,137,172,124,CLU0
71,138,170,101,CLU0
77,150,170,102,CLU0
87,145,159,119,CLU0
88,122,145,143,CLU0
103,113,143,147,CLU0
89,102,157,124,CLU0
93,104,177,128,CLU0
85,103,168,102,CLU0
41,123,161,79,CLU0
40,172,137,176,CLU0
84,137,138,206,CLU0
57,28,107,81,CLU0
12,16,15,34,CLU0
10,18,28,11,CLU0
96,15,33,46,CLU0
130,33,28,29,CLU0
40,13,9,7,CLU0
19,10,1,14,CLU0
13,8,4,26,CLU0
76,40,79,12,CLU0
81,17,50,66,CLU0
187,67,86,119,CLU0
206,83,97,117,CLU0
205,82,71,114,CLU0
138,79,99,55,CLU0
71,35,90,30,CLU0
2,8,26,10,CLU0
7,8,4,10,CLU0
10,4,3,3,CLU0
6,6,8,4,CLU0
5,9,12,12,CLU0
8,10,8,16,CLU0
3,3,6,9,CLU0
3,7,12,8,CLU0
7,7,3,5,CLU0
1,4,14,9,CLU0
6,4,7,5,CLU0
71,75,112,72,CLU0
81,77,108,84,CLU0
85,76,116,78,CLU0
84,71,105,81,CLU0
80,64,107,73,CLU0
82,69,117,81,CLU0
87,83,123,69,CLU0
83,75,98,83,CLU0
76,86,104,85,CLU0
81,82,114,88,CLU0
79,89,125,85,CLU0
77,92,127,59,CLU0
76,87,126,43,CLU0
83,76,122,32,CLU0
81,56,129,47,CLU0
58,46,129,36,CLU0
58,29,123,40,CLU0
59,15,116,51,CLU0
59,18,100,49,CLU0
46,26,93,66,CLU0
31,31,88,88,CLU0
18,25,75,67,CLU0
9,17,60,43,CLU0
17,21,49,62,CLU0
13,4,30,39,CLU0
9,9,24,28,CLU0
2,8,26,36,CLU0
12,11,11,43,CLU0
10,7,7,92,CLU0
18,11,11,94,CLU0
9,8,1,77,CLU0
11,12,20,45,CLU0
15,14,14,29,CLU0
10,4,20,19,CLU0
11,14,25,7,CLU0
7,5,20,12,CLU0
8,19,29,47,CLU0
8,10,11,28,CLU0
10,12,14,74,CLU0
5,14,25,49,CLU0
7,17,11,49,CLU0
14,13,3,29,CLU0
14,30,18,18,CLU0
5,33,35,50,CLU0
49,100,52,8,CLU0
113,140,159,105,CLU0
125,115,228,112,CLU0
124,94,152,92,CLU0
122,67,145,49,CLU0
66,36,81,29,CLU0
8,12,33,26,CLU0
2,20,17,11,CLU0
15,9,32,14,CLU0
4,14,32,44,CLU0
19,29,22,21,CLU0
19,25,17,19,CLU0
10,16,35,26,CLU0
11,14,17,40,CLU0
15,9,17,37,CLU0
9,12,20,12,CLU0
0,14,22,18,CLU0
5,9,24,13,CLU0
5,7,24,10,CLU0
12,18,11,21,CLU0
12,27,27,45,CLU0
8,14,28,15,CLU0
5,34,45,27,CLU0
12,24,38,12,CLU0
20,18,40,16,CLU0
7,22,34,4,CLU0
20,28,9,11,CLU0
10,28,43,14,CLU0
9,18,29,22,CLU0
32,23,54,36,CLU0
56,47,70,97,CLU0
55,73,88,117,CLU0
57,205,45,95,CLU0
136,168,122,272,CLU0
133,66,196,117,CLU0
89,101,152,80,CLU0
97,99,159,78,CLU0
115,125,198,121,CLU0
127,115,207,121,CLU0
112,124,219,100,CLU0
113,103,210,119,CLU0
120,117,197,133,CLU0
126,106,174,106,CLU0
134,119,187,118,CLU0
120,130,195,102,CLU0
113,123,195,107,CLU0
102,124,197,94,CLU0
107,120,203,112,CLU0
118,119,195,115,CLU0
115,124,195,133,CLU0
116,129,191,122,CLU0
114,129,208,135,CLU0
105,134,199,129,CLU0
101,136,192,140,CLU0
103,136,197,133,CLU0
101,137,184,138,CLU0
106,151,162,149,CLU0
95,137,171,160,CLU0
76,167,158,184,CLU0
68,168,137,276,CLU0
43,233,130,304,CLU0
27,252,116,348,CLU0
37,265,96,356,CLU0
36,232,120,371,CLU0
71,182,131,230,CLU0
149,134,156,105,CLU0
178,108,183,124,CLU0
164,128,180,121,CLU0
155,112,177,132,CLU0
167,116,182,131,CLU0
158,119,189,121,CLU0
166,116,183,107,CLU0
118,120,195,110,CLU0
99,121,187,113,CLU0
108,123,181,120,CLU0
117,125,184,128,CLU0
139,122,198,138,CLU0
133,129,193,118,CLU0
129,129,195,131,CLU0
115,129,190,118,CLU0
103,138,188,130,CLU0
106,133,192,123,CLU0
77,130,188,97,CLU0
101,136,188,112,CLU0
99,125,192,131,CLU0
118,128,198,128,CLU0
120,118,199,124,CLU0
141,124,197,116,CLU0
146,117,185,130,CLU0
137,128,184,123,CLU0
121,127,171,111,CLU0
110,121,163,115,CLU0
105,120,139,103,CLU0
105,135,154,106,CLU0
92,123,170,121,CLU0
80,129,168,121,CLU0
68,135,177,109,CLU0
65,145,171,101,CLU0
65,152,169,120,CLU0
76,140,164,102,CLU0
98,140,159,136,CLU0
114,123,137,161,CLU0
104,111,134,198,CLU0
118,107,142,200,CLU0
109,104,152,154,CLU0
90,101,171,120,CLU0
89,108,166,124,CLU0
46,119,158,107,CLU0
33,178,139,202,CLU0
69,159,129,259,CLU0
80,58,130,75,CLU0
31,22,19,23,CLU0
13,20,12,9,CLU0
63,14,42,52,CLU0
143,31,34,36,CLU0
66,25,21,19,CLU0
18,12,16,13,CLU0
30,11,8,11,CLU0
79,40,53,19,CLU0
55,32,79,36,CLU0
168,48,44,108,CLU0
236,90,83,113,CLU0
229,79,70,114,CLU0
165,87,65,65,CLU0
103,50,99,49,CLU0
6,15,38,12,CLU0
6,10,1,3,CLU0
6,7,8,5,CLU0
1,5,1,9,CLU0
5,10,3,6,CLU0
7,7,9,8,CLU0
1,2,6,11,CLU0
11,7,6,9,CLU0
4,9,2,2,CLU0
2,6,8,11,CLU0
9,3,8,4,CLU0
1,0,9,11,CLU0
61,80,121,70,CLU0
73,79,104,76,CLU0
72,81,107,77,CLU0
82,75,112,73,CLU0
77,73,112,69,CLU0
70,76,118,69,CLU0
77,88,123,72,CLU0
75,83,104,76,CLU0
78,96,108,76,CLU0
83,91,110,79,CLU0
78,94,124,62,CLU0
78,94,106,39,CLU0
64,87,115,28,CLU0
64,79,117,31,CLU0
58,59,123,30,CLU0
38,48,121,39,CLU0
36,34,126,51,CLU0
36,21,122,68,CLU0
39,19,116,61,CLU0
26,28,113,60,CLU0
15,25,120,65,CLU0
3,27,114,72,CLU0
18,26,102,79,CLU0
29,16,91,93,CLU0
26,13,76,74,CLU0
20,7,66,72,CLU0
12,14,58,49,CLU0
19,11,33,35,CLU0
16,8,23,115,CLU0
9,15,19,128,CLU0
4,10,21,97,CLU0
6,19,23,51,CLU0
8,15,21,45,CLU0
1,7,34,19,CLU0
9,19,26,25,CLU0
2,5,18,30,CLU0
9,21,38,63,CLU0
10,10,25,46,CLU0
10,11,23,90,CLU0
11,23,12,47,CLU0
3,5,24,37,CLU0
2,16,32,9,CLU0
10,27,11,4,CLU0
11,46,47,84,CLU0
61,57,6,35,CLU0
123,126,58,55,CLU0
131,103,143,74,CLU0
99,73,135,63,CLU0
105,58,110,34,CLU0
49,29,20,34,CLU0
10,16,21,37,CLU0
12,18,19,7,CLU0
7,12,24,12,CLU0
5,19,24,22,CLU0
19,35,24,26,CLU0
23,16,21,19,CLU0
9,24,28,12,CLU0
12,14,22,27,CLU0
10,8,24,18,CLU0
7,16,14,15,CLU0
3,16,21,12,CLU0
1,10,24,14,CLU0
4,13,19,9,CLU0
3,14,16,19,CLU0
16,16,25,29,CLU0
26,26,10,24,CLU0
31,33,8,29,CLU0
37,27,11,12,CLU0
49,22,5,7,CLU0
39,36,10,4,CLU0
45,31,26,20,CLU0
35,52,45,35,CLU0
18,24,37,52,CLU0
47,38,21,44,CLU0
89,71,67,109,CLU0
56,122,71,48,CLU0
52,254,82,241,CLU0
163,129,142,375,CLU0
154,102,209,113,CLU0
103,109,218,144,CLU0
105,104,188,102,CLU0
108,111,193,106,CLU0
123,107,209,100,CLU0
105,108,217,85,CLU0
108,101,209,95,CLU0
122,114,207,126,CLU0
118,106,183,112,CLU0
118,116,190,110,CLU0
114,124,200,89,CLU0
102,127,185,97,CLU0
109,122,194,98,CLU0
110,121,199,115,CLU0
119,125,197,113,CLU0
113,132,201,123,CLU0
108,129,193,128,CLU0
102,130,197,138,CLU0
101,129,184,126,CLU0
102,126,186,144,CLU0
107,123,195,138,CLU0
109,123,180,136,CLU0
117,134,173,130,CLU0
109,115,177,139,CLU0
102,133,170,152,CLU0
98,134,163,200,CLU0
77,190,147,290,CLU0
47,208,117,415,CLU0
37,228,96,400,CLU0
30,226,106,430,CLU0
38,234,111,324,CLU0
110,170,123,216,CLU0
167,124,173,113,CLU0
161,129,175,117,CLU0
154,118,177,122,CLU0
166,119,182,130,CLU0
157,121,195,116,CLU0
165,120,183,115,CLU0
121,121,196,110,CLU0
107,122,184,111,CLU0
109,126,177,127,CLU0
115,123,179,139,CLU0
137,121,198,131,CLU0
135,126,193,121,CLU0
128,125,196,128,CLU0
118,130,193,111,CLU0
108,132,193,126,CLU0
105,140,192,129,CLU0
75,137,180,100,CLU0
104,141,172,120,CLU0
110,127,185,129,CLU0
118,127,182,124,CLU0
115,120,186,120,CLU0
135,122,177,126,CLU0
150,114,184,127,CLU0
144,117,181,122,CLU0
125,129,171,116,CLU0
121,123,163,109,CLU0
114,120,155,106,CLU0
114,128,154,108,CLU0
99,124,166,138,CLU0
75,132,173,119,CLU0
47,165,171,102,CLU0
48,163,168,81,CLU0
69,150,158,115,CLU0
96,128,155,143,CLU0
115,118,153,185,CLU0
129,103,136,202,CLU0
111,105,135,227,CLU0
117,104,153,216,CLU0
120,108,153,167,CLU0
89,100,163,119,CLU0
85,110,162,130,CLU0
45,123,163,122,CLU0
26,190,144,221,CLU0
61,164,122,276,CLU0
94,78,146,73,CLU0
56,24,49,40,CLU0
9,26,4,19,CLU0
31,17,36,50,CLU0
138,28,33,46,CLU0
94,30,41,38,CLU0
40,10,25,11,CLU0
35,7,12,8,CLU0
60,27,21,29,CLU0
53,42,85,18,CLU0
142,27,38,102,CLU0
275,89,70,128,CLU0
235,85,67,111,CLU0
199,82,42,81,CLU0
130,63,89,47,CLU0
38,21,59,13,CLU0
2,13,10,8,CLU0
4,6,8,3,CLU0
6,3,7,9,CLU0
9,7,7,3,CLU0
6,4,6,3,CLU0
4,1,7,9,CLU0
10,7,4,4,CLU0
4,11,3,5,CLU0
3,7,3,5,CLU0
8,3,10,2,CLU0
3,4,9,6,CLU0
63,82,112,69,CLU0
67,83,123,60,CLU0
65,81,100,57,CLU0
56,83,103,67,CLU0
82,78,117,58,CLU0
74,78,114,65,CLU0
65,84,109,62,CLU0
77,88,112,70,CLU0
76,89,106,73,CLU0
98,97,112,67,CLU0
90,94,109,66,CLU0
88,90,119,61,CLU0
84,89,94,44,CLU0
65,85,109,34,CLU0
53,84,116,49,CLU0
60,67,119,40,CLU0
53,61,111,51,CLU0
45,58,126,51,CLU0
32,50,125,69,CLU0
36,41,130,66,CLU0
34,43,130,64,CLU0
28,32,147,54,CLU0
12,37,149,75,CLU0
13,44,143,108,CLU0
11,32,127,96,CLU0
21,30,112,97,CLU0
11,21,113,115,CLU0
14,18,99,69,CLU0
25,12,90,32,CLU0
17,11,60,117,CLU0
7,14,58,164,CLU0
9,11,59,141,CLU0
2,22,46,96,CLU0
7,12,36,80,CLU0
8,7,47,47,CLU0
2,19,24,58,CLU0
4,15,30,82,CLU0
13,6,21,62,CLU0
8,14,32,64,CLU0
2,9,22,84,CLU0
8,24,5,51,CLU0
2,24,43,46,CLU0
4,22,49,32,CLU0
10,27,68,71,CLU0
6,74,118,129,CLU0
52,31,85,90,CLU0
106,78,88,31,CLU0
127,89,107,87,CLU0
98,69,144,70,CLU0
76,31,81,64,CLU0
57,16,17,46,CLU0
22,16,15,15,CLU0
22,16,25,6,CLU0
5,12,16,26,CLU0
4,24,29,14,CLU0
16,30,17,29,CLU0
14,12,18,25,CLU0
5,26,14,20,CLU0
8,10,29,13,CLU0
7,11,31,16,CLU0
4,18,21,19,CLU0
3,13,23,16,CLU0
1,8,16,35,CLU0
7,16,11,29,CLU0
6,17,22,26,CLU0
21,29,33,19,CLU0
47,48,40,54,CLU0
38,50,48,38,CLU0
25,37,40,25,CLU0
37,20,37,29,CLU0
57,39,31,40,CLU0
79,62,42,51,CLU0
87,97,76,64,CLU0
58,74,115,83,CLU0
64,72,61,101,CLU0
106,106,78,80,CLU0
47,176,87,112,CLU0
37,256,97,377,CLU0
160,110,131,379,CLU0
165,119,219,87,CLU0
119,121,231,161,CLU0
108,109,202,123,CLU0
104,106,198,125,CLU0
118,110,215,113,CLU0
109,94,215,91,CLU0
111,96,204,96,CLU0
121,104,203,125,CLU0
117,106,202,117,CLU0
109,106,199,106,CLU0
112,118,208,96,CLU0
101,125,183,103,CLU0
120,122,197,116,CLU0
114,121,197,120,CLU0
111,129,197,122,CLU0
110,132,203,123,CLU0
107,124,194,139,CLU0
101,126,188,139,CLU0
105,120,180,129,CLU0
110,113,184,135,CLU0
108,112,190,126,CLU0
115,113,177,123,CLU0
121,121,190,105,CLU0
117,113,180,115,CLU0
119,114,185,105,CLU0
111,107,191,122,CLU0
96,140,171,171,CLU0
65,164,134,374,CLU0
38,187,114,418,CLU0
29,218,101,448,CLU0
27,257,104,390,CLU0
67,220,102,348,CLU0
146,145,159,155,CLU0
158,122,183,108,CLU0
159,129,185,115,CLU0
163,120,184,117,CLU0
156,121,194,107,CLU0
159,123,184,110,CLU0
125,130,189,113,CLU0
106,129,183,113,CLU0
102,128,174,133,CLU0
115,123,174,145,CLU0
137,120,194,124,CLU0
140,125,192,121,CLU0
120,123,194,122,CLU0
121,128,195,110,CLU0
113,125,197,120,CLU0
99,137,182,133,CLU0
86,142,175,126,CLU0
103,147,158,131,CLU0
112,127,177,119,CLU0
116,119,171,124,CLU0
114,125,173,125,CLU0
125,119,163,134,CLU0
146,116,180,119,CLU0
145,111,176,116,CLU0
136,124,173,123,CLU0
133,121,166,114,CLU0
117,126,167,114,CLU0
123,119,161,117,CLU0
109,126,163,152,CLU0
86,127,173,122,CLU0
45,188,161,124,CLU0
57,172,154,105,CLU0
93,134,146,142,CLU0
117,115,148,205,CLU0
115,100,157,209,CLU0
126,100,153,203,CLU0
109,105,147,199,CLU0
108,107,160,176,CLU0
119,110,157,150,CLU0
97,104,156,124,CLU0
80,107,158,122,CLU0
43,138,166,116,CLU0
26,193,146,210,CLU0
67,163,121,276,CLU0
96,100,144,96,CLU0
78,40,93,53,CLU0
14,27,5,15,CLU0
11,14,17,41,CLU0
115,24,27,50,CLU0
117,29,59,35,CLU0
64,16,26,12,CLU0
20,6,10,11,CLU0
24,9,5,33,CLU0
70,43,69,16,CLU0
105,13,54,91,CLU0
277,81,62,129,CLU0
235,95,86,113,CLU0
229,78,40,100,CLU0
143,73,69,32,CLU0
80,26,83,19,CLU0
5,15,23,10,CLU0
12,4,3,4,CLU0
7,2,8,3,CLU0
10,5,8,7,CLU0
2,8,3,5,CLU0
4,4,8,1,CLU0
5,5,6,1,CLU0
5,9,4,9,CLU0
9,4,0,3,CLU0
8,5,10,2,CLU0
1,6,4,3,CLU0
8,6,0,10,CLU0
67,85,100,50,CLU0
75,83,92,62,CLU0
75,81,108,46,CLU0
60,84,92,44,CLU0
47,81,98,51,CLU0
82,80,109,50,CLU0
75,76,107,58,CLU0
74,83,94,58,CLU0
87,79,96,50,CLU0
89,85,100,62,CLU0
117,85,107,55,CLU0
97,84,106,67,CLU0
99,80,108,76,CLU0
90,84,96,58,CLU0
76,88,104,45,CLU0
57,87,113,68,CLU0
81,73,111,51,CLU0
84,72,104,50,CLU0
75,82,125,36,CLU0
54,86,121,52,CLU0
57,78,131,59,CLU0
62,74,131,72,CLU0
56,60,147,63,CLU0
50,56,151,70,CLU0
57,64,154,98,CLU0
42,53,135,69,CLU0
23,46,124,87,CLU0
33,43,140,123,CLU0
25,27,131,94,CLU0
43,21,146,65,CLU0
28,14,108,90,CLU0
9,11,107,186,CLU0
6,11,101,195,CLU0
8,16,84,170,CLU0
17,11,61,152,CLU0
10,19,68,128,CLU0
17,18,59,134,CLU0
10,33,40,132,CLU0
21,20,25,51,CLU0
2,18,41,115,CLU0
6,19,24,92,CLU0
6,21,24,94,CLU0
18,34,28,85,CLU0
16,45,14,49,CLU0
34,65,150,141,CLU0
26,106,176,154,CLU0
50,77,154,124,CLU0
83,76,92,88,CLU0
128,89,119,110,CLU0
106,74,102,61,CLU0
61,15,43,71,CLU0
60,14,33,14,CLU0
21,12,30,60,CLU0
22,20,35,9,CLU0
15,11,17,46,CLU0
10,20,29,19,CLU0
13,19,12,27,CLU0
1,16,14,37,CLU0
6,20,7,27,CLU0
3,9,29,12,CLU0
7,19,33,17,CLU0
5,16,22,12,CLU0
8,9,18,30,CLU0
5,6,4,40,CLU0
12,13,5,47,CLU0
8,28,34,33,CLU0
54,40,25,41,CLU0
38,52,61,94,CLU0
23,75,75,22,CLU0
30,56,77,24,CLU0
31,42,47,42,CLU0
38,34,55,57,CLU0
67,47,57,66,CLU0
95,93,31,66,CLU0
89,94,110,88,CLU0
81,95,126,141,CLU0
85,136,119,105,CLU0
41,211,115,259,CLU0
26,195,100,432,CLU0
132,102,96,285,CLU0
162,109,206,69,CLU0
132,117,213,147,CLU0
106,109,197,130,CLU0
106,102,199,152,CLU0
112,115,214,131,CLU0
115,93,208,112,CLU0
117,98,191,116,CLU0
118,100,192,125,CLU0
119,106,211,111,CLU0
113,99,203,109,CLU0
113,116,211,113,CLU0
105,117,190,122,CLU0
120,123,205,132,CLU0
111,121,197,127,CLU0
101,124,197,139,CLU0
108,125,199,135,CLU0
110,119,194,144,CLU0
108,121,188,140,CLU0
109,112,190,134,CLU0
112,110,187,126,CLU0
103,109,185,115,CLU0
116,116,177,109,CLU0
120,123,197,102,CLU0
118,126,181,96,CLU0
122,117,190,79,CLU0
109,116,200,104,CLU0
96,117,183,118,CLU0
75,145,154,274,CLU0
43,156,136,436,CLU0
33,209,101,473,CLU0
30,235,105,420,CLU0
39,257,98,430,CLU0
123,175,139,232,CLU0
157,113,191,104,CLU0
161,137,192,115,CLU0
158,118,183,103,CLU0
154,122,184,104,CLU0
155,122,181,94,CLU0
131,138,179,114,CLU0
98,134,186,117,CLU0
96,132,174,133,CLU0
114,125,173,139,CLU0
137,122,186,122,CLU0
145,126,191,121,CLU0
116,126,191,119,CLU0
125,126,192,116,CLU0
116,123,196,116,CLU0
94,130,175,130,CLU0
101,139,171,152,CLU0
101,150,154,131,CLU0
99,133,166,113,CLU0
111,115,166,123,CLU0
114,131,164,134,CLU0
117,121,161,134,CLU0
138,119,172,114,CLU0
139,113,170,107,CLU0
144,118,172,126,CLU0
145,118,174,122,CLU0
118,129,170,117,CLU0
126,115,170,121,CLU0
112,127,165,151,CLU0
103,116,168,124,CLU0
56,191,155,163,CLU0
88,162,136,186,CLU0
117,116,140,205,CLU0
123,110,150,234,CLU0
